Date,Time,Open,High,Low,Close,Volume
2012.07.11,0:00,1.55145,1.55234,1.55117,1.55225,3190
2012.07.11,4:00,1.55224,1.55332,1.55118,1.5531,3828
2012.07.11,8:00,1.55309,1.55701,1.55212,1.55605,14007
2012.07.11,12:00,1.55603,1.55768,1.55497,1.55622,13983
2012.07.11,16:00,1.5562,1.55713,1.5519,1.55301,12059
2012.07.11,20:00,1.55303,1.55361,1.54852,1.55066,8266
2012.07.12,0:00,1.55072,1.55146,1.54947,1.54983,5264
2012.07.12,4:00,1.54983,1.55155,1.54963,1.54974,6499
2012.07.12,8:00,1.54969,1.54974,1.54474,1.54709,14826
2012.07.12,12:00,1.5471,1.54733,1.54321,1.54391,14241
2012.07.12,16:00,1.54391,1.54422,1.53917,1.54174,11991
2012.07.12,20:00,1.54172,1.54376,1.54119,1.54299,5842
2012.07.13,0:00,1.54299,1.54376,1.54144,1.543,5457
2012.07.13,4:00,1.54302,1.54437,1.54229,1.54309,5542
2012.07.13,8:00,1.5431,1.5463,1.54123,1.54459,17557
2012.07.13,12:00,1.54459,1.55367,1.54357,1.55233,20999
2012.07.13,16:00,1.55232,1.5571,1.55203,1.55645,13852
2012.07.13,20:00,1.55647,1.5579,1.55587,1.5574,5187
2012.07.16,0:00,1.5579,1.5592,1.5563,1.5567,3104
2012.07.16,4:00,1.5569,1.5577,1.5563,1.557,2065
2012.07.16,8:00,1.5571,1.5575,1.5516,1.5529,4742
2012.07.16,12:00,1.5528,1.5622,1.5519,1.5606,6808
2012.07.16,16:00,1.5607,1.5644,1.5589,1.5633,8129
2012.07.16,20:00,1.5632,1.5654,1.5625,1.5632,4937
2012.07.17,0:00,1.5631,1.5677,1.5623,1.5661,5417
2012.07.17,4:00,1.566,1.5673,1.5649,1.5653,4008
2012.07.17,8:00,1.5654,1.5668,1.5609,1.5634,8773
2012.07.17,12:00,1.5633,1.5646,1.5607,1.562,7666
2012.07.17,16:00,1.5622,1.5641,1.5553,1.5629,6821
2012.07.17,20:00,1.5628,1.5656,1.5627,1.5646,3064
