,Date,Time,Open,High,Low,Close,Volume,Date_Time
14490,2023-04-21 06:00:00,06:00,2002.91,2003.17,2001.03,2002.02,10542,2023.04.21 06:00
14491,2023-04-21 07:00:00,07:00,2002.03,2002.22,2000.21,2000.45,8290,2023.04.21 07:00
14492,2023-04-21 08:00:00,08:00,2000.47,2000.94,1993.83,1994.84,14479,2023.04.21 08:00
14493,2023-04-21 09:00:00,09:00,1994.83,1997.95,1981.78,1986.25,25948,2023.04.21 09:00
14494,2023-04-21 10:00:00,10:00,1986.26,1987.5,1982.84,1986.62,23487,2023.04.21 10:00
14495,2023-04-21 11:00:00,11:00,1986.61,1989.44,1983.99,1988.19,23546,2023.04.21 11:00
14496,2023-04-21 12:00:00,12:00,1988.18,1990.21,1984.74,1986.06,18814,2023.04.21 12:00
14497,2023-04-21 13:00:00,13:00,1986.08,1992.37,1985.94,1988.0,19615,2023.04.21 13:00
14498,2023-04-21 14:00:00,14:00,1987.99,1988.43,1984.62,1987.9,18924,2023.04.21 14:00
14499,2023-04-21 15:00:00,15:00,1987.89,1990.9,1982.06,1988.88,27014,2023.04.21 15:00
14500,2023-04-21 16:00:00,16:00,1988.87,1997.84,1972.44,1975.0,35244,2023.04.21 16:00
14501,2023-04-21 17:00:00,17:00,1974.99,1987.4,1971.54,1978.76,42867,2023.04.21 17:00
14502,2023-04-21 18:00:00,18:00,1978.76,1979.64,1974.34,1975.77,26930,2023.04.21 18:00
14503,2023-04-21 19:00:00,19:00,1975.76,1978.41,1973.91,1977.34,19922,2023.04.21 19:00
14504,2023-04-21 20:00:00,20:00,1977.34,1980.64,1977.28,1980.48,16907,2023.04.21 20:00
14505,2023-04-21 21:00:00,21:00,1980.48,1982.47,1978.79,1979.05,13805,2023.04.21 21:00
14506,2023-04-21 22:00:00,22:00,1979.04,1982.9,1978.51,1982.58,12522,2023.04.21 22:00
14507,2023-04-21 23:00:00,23:00,1982.58,1983.47,1981.55,1983.15,5552,2023.04.21 23:00
14508,2023-04-24 01:00:00,01:00,1980.99,1983.92,1980.98,1983.92,4633,2023.04.24 01:00
14509,2023-04-24 02:00:00,02:00,1983.91,1985.24,1983.83,1984.52,4778,2023.04.24 02:00
14510,2023-04-24 03:00:00,03:00,1984.5,1984.5,1981.25,1983.79,10166,2023.04.24 03:00
14511,2023-04-24 04:00:00,04:00,1983.78,1984.52,1979.02,1979.36,19178,2023.04.24 04:00
14512,2023-04-24 05:00:00,05:00,1979.34,1983.09,1978.41,1980.17,16786,2023.04.24 05:00
14513,2023-04-24 06:00:00,06:00,1980.14,1981.38,1979.91,1980.72,9822,2023.04.24 06:00
14514,2023-04-24 07:00:00,07:00,1980.73,1981.12,1978.13,1979.45,8672,2023.04.24 07:00
14515,2023-04-24 08:00:00,08:00,1979.45,1979.72,1976.35,1978.47,14326,2023.04.24 08:00
14516,2023-04-24 09:00:00,09:00,1978.45,1981.56,1977.6,1978.92,20415,2023.04.24 09:00
14517,2023-04-24 10:00:00,10:00,1978.9,1983.06,1978.02,1982.64,20925,2023.04.24 10:00
14518,2023-04-24 11:00:00,11:00,1982.64,1985.13,1980.77,1984.97,20511,2023.04.24 11:00
14519,2023-04-24 12:00:00,12:00,1984.96,1986.87,1982.85,1983.02,19161,2023.04.24 12:00
14520,2023-04-24 13:00:00,13:00,1983.01,1985.34,1982.96,1983.57,16415,2023.04.24 13:00
14521,2023-04-24 14:00:00,14:00,1983.56,1985.18,1982.54,1982.98,14532,2023.04.24 14:00
14522,2023-04-24 15:00:00,15:00,1982.98,1984.45,1980.93,1983.79,21625,2023.04.24 15:00
14523,2023-04-24 16:00:00,16:00,1983.78,1984.92,1974.01,1977.8,31569,2023.04.24 16:00
14524,2023-04-24 17:00:00,17:00,1977.79,1987.11,1976.39,1982.41,30926,2023.04.24 17:00
14525,2023-04-24 18:00:00,18:00,1982.4,1985.34,1981.34,1984.7,25412,2023.04.24 18:00
14526,2023-04-24 19:00:00,19:00,1984.71,1987.61,1984.52,1986.52,16780,2023.04.24 19:00
14527,2023-04-24 20:00:00,20:00,1986.53,1990.74,1986.46,1989.45,15734,2023.04.24 20:00
14528,2023-04-24 21:00:00,21:00,1989.46,1990.27,1987.81,1989.65,12959,2023.04.24 21:00
14529,2023-04-24 22:00:00,22:00,1989.64,1989.75,1987.35,1988.63,11835,2023.04.24 22:00
14530,2023-04-24 23:00:00,23:00,1988.62,1989.35,1988.18,1988.89,4482,2023.04.24 23:00
14531,2023-04-25 01:00:00,01:00,1988.86,1993.28,1988.59,1992.51,4774,2023.04.25 01:00
14532,2023-04-25 02:00:00,02:00,1992.5,1996.49,1991.53,1994.93,6785,2023.04.25 02:00
14533,2023-04-25 03:00:00,03:00,1994.93,2000.82,1993.2,1996.76,12933,2023.04.25 03:00
14534,2023-04-25 04:00:00,04:00,1996.77,2000.49,1995.29,1997.03,21265,2023.04.25 04:00
14535,2023-04-25 05:00:00,05:00,1997.04,1998.21,1994.06,1994.64,15864,2023.04.25 05:00
14536,2023-04-25 06:00:00,06:00,1994.65,1996.34,1992.71,1992.72,12206,2023.04.25 06:00
14537,2023-04-25 07:00:00,07:00,1992.71,1993.74,1990.86,1990.98,9043,2023.04.25 07:00
14538,2023-04-25 08:00:00,08:00,1990.98,1995.65,1990.74,1995.44,14747,2023.04.25 08:00
14539,2023-04-25 09:00:00,09:00,1995.42,1996.83,1992.81,1994.15,18715,2023.04.25 09:00
14540,2023-04-25 10:00:00,10:00,1994.17,1997.13,1987.44,1990.14,26349,2023.04.25 10:00
14541,2023-04-25 11:00:00,11:00,1990.15,1990.92,1986.87,1988.43,20216,2023.04.25 11:00
14542,2023-04-25 12:00:00,12:00,1988.42,1990.85,1986.84,1988.08,17374,2023.04.25 12:00
14543,2023-04-25 13:00:00,13:00,1988.07,1988.44,1981.71,1982.13,19889,2023.04.25 13:00
14544,2023-04-25 14:00:00,14:00,1982.13,1982.78,1976.57,1977.54,25242,2023.04.25 14:00
14545,2023-04-25 15:00:00,15:00,1977.55,1994.4,1976.05,1992.91,32198,2023.04.25 15:00
14546,2023-04-25 16:00:00,16:00,1992.9,1993.61,1984.06,1985.02,33985,2023.04.25 16:00
14547,2023-04-25 17:00:00,17:00,1985.09,1989.09,1983.33,1985.75,31307,2023.04.25 17:00
